manager,player,pos,nfl,age,draft_pick,draft_round,pre_ecr,ros_ovr,ros_pos,ros_delta,wk3_rank,pts_w1,pts_w2,ep_w1,ep_w2,snap_w1,snap_w2,tgt_car_w1,tgt_car_w2,inj,inj_type,practice,name_value,draft_value,current_value,ppg,ep2,perceived,flags
Aoc,Jahmyr Gibbs,RB,DET,24.0,2.0,1.0,2.48,1.0,1.0,,1.42,33.6,23.3,32.6,21.8,0.74,0.83,"(5, 29)","(8, 16)",,,,94.6,95.7,97.8,28.450000000000003,27.200000000000003,96.1,
Aoc,Zay Flowers,WR,BAL,26.0,42.0,5.0,30.3,24.5,11.67,,28.55,26.0,,11.9,,0.29,,"(6, 0)",,,,,51.0,39.3,58.0,26.0,11.9,57.4,OUTPUT>USAGE
Aoc,A.J. Brown,WR,NE,29.0,19.0,2.0,14.25,39.17,19.33,-13.0,,5.6,,5.7,,0.44,,"(4, 0)",,,,,72.9,65.6,41.9,5.6,5.7,51.3,BUY-LOW FALLING
Aoc,Garrett Wilson,WR,NYJ,26.0,39.0,4.0,29.62,33.67,16.17,,11.23,13.9,16.7,12.5,,0.75,0.88,"(7, 0)","(7, 0)",,,,51.8,42.0,47.3,15.3,12.5,48.4,
Aoc,Brock Bowers,TE,LV,24.0,22.0,3.0,19.03,35.67,2.0,-1.0,34.6,,,,,,,,,,,,65.5,61.3,45.3,,,47.0,
Aoc,Joe Burrow,QB,CIN,30.0,62.0,7.0,45.81,59.83,6.0,,10.37,16.2,20.2,21.2,,1.0,1.0,"(0, 5)","(0, 1)",,,,36.1,25.2,26.5,18.2,21.2,34.3,
Aoc,Marvin Harrison Jr.,WR,ARI,24.0,59.0,6.0,68.6,74.0,37.67,,42.35,4.3,0.0,4.8,,0.79,0.74,"(3, 0)","(1, 0)",,,,21.8,27.0,19.3,2.15,4.8,19.4,
Aoc,Deebo Samuel Sr.,WR,SF,30.0,122.0,13.0,138.51,89.33,46.0,,36.18,18.0,6.5,16.8,,0.42,0.6,"(7, 1)","(4, 1)",,,,4.6,6.6,13.7,12.25,16.8,14.0,USAGE>OUTPUT AGE NAME<CURRENT
Aoc,Rico Dowdle,RB,PIT,28.0,84.0,9.0,88.82,100.17,28.2,6.0,33.64,4.1,6.4,11.0,,0.58,0.26,"(5, 8)","(2, 7)",,,,13.9,15.5,10.8,5.25,11.0,13.4,USAGE>OUTPUT AGE RISING
Aoc,Kyle Monangai,RB,CHI,24.0,102.0,11.0,116.95,149.33,37.6,,33.45,20.4,7.8,9.0,,0.43,0.34,"(2, 10)","(2, 10)",,,,7.4,10.4,3.6,14.1,9.0,12.3,SELL-HIGH OUTPUT>USAGE NAME>CURRENT
Aoc,RJ Harvey,RB,DEN,25.0,99.0,10.0,97.46,133.83,34.2,5.0,34.24,8.1,,7.0,,0.51,,"(4, 3)",,,,,11.5,11.1,5.1,8.1,7.0,11.2,RISING NAME>CURRENT
Aoc,Juwan Johnson,TE,NO,30.0,,,134.2,122.83,13.8,,10.82,14.4,10.6,14.7,,0.84,0.53,"(7, 0)","(4, 0)",,,,5.1,5.0,6.5,12.5,14.7,11.1,AGE
Aoc,J.K. Dobbins,RB,DEN,28.0,79.0,8.0,100.48,129.67,32.4,5.0,32.86,3.6,3.6,3.9,,0.43,0.34,"(0, 8)","(0, 10)",,,,10.7,17.3,5.6,3.6,3.9,9.8,AGE RISING NAME>CURRENT
Aoc,MarShawn Lloyd,RB,GB,25.0,82.0,9.0,179.03,136.17,34.6,-5.0,30.59,3.7,8.6,9.1,,0.44,0.27,"(1, 13)","(2, 6)",,,,1.9,16.2,4.9,6.15,9.1,8.0,FALLING NAME<CURRENT
Aoc,Denver Broncos,DST,DEN,,119.0,12.0,163.88,171.0,3.14,,,,,,,,,,,,,,2.6,7.1,2.2,,,2.7,
Aoc,Kansas City Chiefs,DST,KC,,,,209.54,208.0,13.86,,,,,,,,,,,,,,1.0,5.0,1.0,,,1.5,
Betto,Amon-Ra St. Brown,WR,DET,27.0,6.0,1.0,5.42,7.33,3.33,-1.0,2.27,28.7,35.2,26.1,24.9,0.9,0.95,"(14, 0)","(13, 0)",,,,88.7,87.5,85.0,31.950000000000003,25.5,88.7,OUTPUT>USAGE
Betto,Trey McBride,TE,ARI,27.0,26.0,3.0,21.0,26.33,1.0,1.0,1.0,24.5,18.1,24.2,,0.8,0.88,"(13, 0)","(10, 0)",,,,62.7,56.1,55.7,21.3,24.2,60.2,
Betto,Omarion Hampton,RB,LAC,23.0,15.0,2.0,25.57,21.67,11.6,-2.0,12.74,8.3,17.5,7.2,,0.58,0.63,"(0, 12)","(2, 23)",,,,56.7,71.7,61.8,12.9,7.2,58.9,OUTPUT>USAGE
Betto,Ladd McConkey,WR,LAC,25.0,35.0,4.0,34.85,40.67,20.5,,40.98,19.2,6.5,16.5,,0.49,0.46,"(7, 0)","(3, 0)",,,,46.1,45.9,40.5,12.85,16.5,43.3,
Betto,D'Andre Swift,RB,CHI,27.0,55.0,6.0,54.7,39.33,15.4,,15.01,32.4,12.9,17.5,,0.57,0.68,"(1, 18)","(5, 16)",,,,29.7,29.5,41.7,22.65,17.5,41.3,OUTPUT>USAGE
Betto,Luther Burden III,WR,CHI,23.0,46.0,5.0,46.99,50.5,25.5,,24.13,9.5,6.2,8.6,,0.73,0.57,"(5, 1)","(7, 0)",,,,35.2,36.0,32.6,7.85,8.6,32.9,
Betto,Justin Herbert,QB,LAC,28.0,75.0,8.0,71.63,69.5,9.4,,9.39,15.3,9.9,20.1,,1.0,1.0,"(0, 5)","(0, 3)",,,,20.4,18.9,21.3,12.600000000000001,20.1,23.8,USAGE>OUTPUT
Betto,Stefon Diggs,WR,WAS,33.0,95.0,10.0,96.49,70.83,36.17,,29.9,15.5,21.7,14.2,,0.63,0.51,"(9, 0)","(6, 0)",,,,11.7,12.1,20.7,18.6,14.2,22.9,SELL-HIGH AGE NAME<CURRENT
Betto,Jared Goff,QB,DET,32.0,,,106.4,106.0,14.6,,12.65,20.4,39.8,22.0,20.9,1.0,1.0,"(0, 2)","(0, 3)",,,,9.4,5.0,9.5,30.099999999999998,21.45,22.4,SELL-HIGH OUTPUT>USAGE
Betto,Rhamondre Stevenson,RB,NE,28.0,66.0,7.0,77.27,74.5,24.0,5.0,20.97,14.5,3.6,17.5,,0.85,0.36,"(6, 18)","(2, 6)",,,,18.0,23.1,19.1,9.05,17.5,21.0,USAGE>OUTPUT AGE RISING
Betto,Tucker Kraft,TE,GB,26.0,86.0,9.0,80.46,88.67,6.0,-1.0,7.21,9.5,3.5,10.7,,0.66,0.98,"(6, 0)","(3, 0)",,,,16.7,14.8,13.9,6.5,10.7,16.0,USAGE>OUTPUT
Betto,Khalil Shakir,WR,BUF,26.0,115.0,12.0,123.36,105.83,53.17,,42.79,9.0,6.8,14.5,11.7,0.53,0.49,"(6, 0)","(6, 0)",,,,6.4,7.8,9.5,7.9,13.1,10.8,USAGE>OUTPUT
Betto,Kenny Gainwell,RB,TB,27.0,106.0,11.0,100.1,137.83,36.6,-4.0,33.86,2.8,4.5,3.7,,,,"(1, 5)","(4, 2)",,,,10.8,9.5,4.7,3.65,3.7,8.4,NAME>CURRENT
Betto,Zach Charbonnet,RB,SEA,25.0,135.0,14.0,154.18,221.17,54.0,,,,,,,,,,,,,,3.3,5.0,0.7,,,2.0,NAME>CURRENT
Betto,Jalen McMillan,WR,TB,25.0,146.0,15.0,172.6,179.0,71.83,,90.98,,,,,,0.11,,,,,,2.2,3.9,1.9,,,2.0,
Betto,Baltimore Ravens,DST,BAL,,126.0,13.0,198.22,188.67,10.71,,,,,,,,,,,,,,1.2,6.1,1.5,,,1.9,
Billy,Ja'Marr Chase,WR,CIN,26.0,3.0,1.0,1.55,2.67,1.17,,3.7,3.2,26.5,7.8,,0.94,0.88,"(4, 0)","(9, 0)",,,,96.6,93.6,94.2,14.85,7.8,88.1,OUTPUT>USAGE
Billy,Kenneth Walker III,RB,KC,26.0,23.0,3.0,26.05,12.17,6.2,,5.19,34.1,23.8,26.1,,0.68,0.82,"(6, 23)","(10, 24)",,,,56.1,60.0,76.3,28.950000000000003,26.1,70.8,
Billy,Ashton Jeanty,RB,LV,23.0,18.0,2.0,26.37,17.33,9.2,2.0,6.45,32.7,10.3,24.4,,0.74,0.81,"(6, 23)","(7, 21)",,,,55.7,67.0,68.0,21.5,24.4,64.7,
Billy,Rashee Rice,WR,KC,26.0,38.0,4.0,24.68,35.5,17.33,3.0,14.74,9.9,12.3,3.0,,0.83,0.79,"(2, 0)","(6, 0)",,,,57.8,43.0,45.4,11.100000000000001,3.0,47.5,OUTPUT>USAGE
Billy,Parker Washington,WR,JAC,24.0,63.0,7.0,63.29,44.67,22.17,3.0,18.47,19.3,16.8,11.9,,0.61,0.81,"(6, 0)","(12, 0)",,,,24.5,24.7,37.1,18.05,11.9,34.9,OUTPUT>USAGE
Billy,Caleb Williams,QB,CHI,25.0,123.0,13.0,67.1,44.83,4.8,,4.48,41.3,7.7,30.9,,1.0,0.86,"(0, 10)","(0, 5)",,,,22.5,6.5,36.9,24.5,30.9,34.7,USAGE>OUTPUT
Billy,Colston Loveland,TE,CHI,22.0,43.0,5.0,37.44,43.0,3.0,,3.09,0.0,1.3,6.3,,0.87,0.86,"(2, 0)","(3, 0)",,,,43.5,38.5,38.5,0.65,6.3,34.6,BUY-LOW USAGE>OUTPUT
Billy,Bhayshul Tuten,RB,JAC,24.0,58.0,6.0,67.19,58.83,22.0,,27.22,9.8,14.2,9.5,,0.49,0.51,"(1, 15)","(2, 13)",,,,22.5,27.6,27.1,12.0,9.5,27.7,
Billy,Trevor Lawrence,QB,JAC,27.0,,,77.84,61.17,6.2,,10.63,34.1,6.2,15.4,,0.88,1.0,"(0, 2)","(0, 2)",,,,17.7,5.0,25.7,20.150000000000002,15.4,26.4,
Billy,Jaylen Warren,RB,PIT,28.0,78.0,8.0,77.34,86.67,26.2,,26.66,10.3,9.7,16.6,,0.37,0.71,"(6, 10)","(4, 11)",,,,17.9,17.7,14.6,10.0,16.6,18.9,USAGE>OUTPUT AGE
Billy,Dalton Kincaid,TE,BUF,27.0,138.0,14.0,112.42,105.67,9.2,3.0,4.35,18.0,22.5,10.7,16.7,0.72,0.66,"(6, 0)","(8, 0)",,,,8.2,4.7,9.6,20.25,13.7,17.1,SELL-HIGH OUTPUT>USAGE
Billy,Alec Pierce,WR,IND,26.0,83.0,9.0,100.32,79.17,41.5,,48.46,10.1,2.1,11.7,,0.59,0.26,"(6, 0)","(1, 0)",,,,10.8,15.8,17.2,6.1,11.7,15.5,USAGE>OUTPUT
Billy,Jordan Mason,RB,MIN,27.0,103.0,11.0,115.68,133.17,35.8,,,11.9,,10.0,,0.45,,"(0, 15)",,,,,7.6,10.1,5.2,11.9,10.0,11.8,
Billy,Antonio Williams,WR,WAS,22.0,,,233.94,211.0,79.5,,74.78,16.4,5.4,8.5,,0.37,0.49,"(4, 0)","(3, 0)",,,,0.6,5.0,0.9,10.899999999999999,8.5,6.7,
Billy,Houston Texans,DST,HOU,,118.0,12.0,152.91,154.33,1.86,,,,,,,,,,,,,,3.3,7.3,3.2,,,3.4,
Billy,Ja'Kobi Lane,WR,BAL,22.0,143.0,15.0,222.62,203.67,76.83,-8.0,109.0,2.1,,8.3,,0.4,,"(3, 0)",,,,,0.7,4.2,1.1,2.1,8.3,2.3,USAGE>OUTPUT FALLING
Daoud,James Cook III,RB,BUF,27.0,12.0,2.0,15.97,4.67,3.8,-1.0,8.41,9.9,20.9,11.8,21.6,0.72,0.74,"(4, 13)","(3, 21)",,,,70.1,76.6,90.1,15.399999999999999,16.700000000000003,76.3,
Daoud,Chris Olave,WR,NO,26.0,32.0,4.0,17.99,17.17,8.67,,6.66,28.2,22.6,21.9,,0.86,0.84,"(13, 0)","(10, 0)",,,,67.0,49.1,68.3,25.4,21.9,67.5,
