manager,player,pos,nfl,age,draft_pick,draft_round,pre_ecr,ros_ovr,ros_pos,ros_delta,wk3_rank,pts_w1,pts_w2,ep_w1,ep_w2,snap_w1,snap_w2,tgt_car_w1,tgt_car_w2,inj,inj_type,practice,name_value,draft_value,current_value,ppg,ep2,perceived,flags
Hazime,Keon Coleman,WR,BUF,23.0,148.0,15.0,246.9,272.4,102.6,,88.0,1.1,12.3,2.5,10.4,0.5,0.74,"(1, 0)","(6, 0)",,,,0.4,3.7,0.2,6.7,6.45,4.1,NAME>CURRENT
Hazime,Cooper Kupp,WR,SEA,33.0,133.0,14.0,222.96,217.5,81.0,,69.21,5.5,4.0,4.5,,0.78,0.43,"(3, 0)","(2, 0)",,,,0.7,5.2,0.8,4.75,4.5,3.7,AGE
Hazime,Los Angeles Rams,DST,LAR,,93.0,10.0,167.92,168.33,4.86,,,,,,,,,,,,,,2.4,12.7,2.4,,,3.6,
Ish,Bijan Robinson,RB,ATL,24.0,1.0,1.0,4.1,3.0,2.0,,1.88,31.3,11.1,22.6,,0.77,0.51,"(10, 21)","(4, 16)",,,,91.3,97.8,93.6,21.2,22.6,90.1,
Ish,Nico Collins,WR,HOU,27.0,20.0,2.0,16.0,15.0,7.67,3.0,19.82,21.2,,19.9,,0.72,,"(10, 1)",,,,,70.1,64.1,71.7,21.2,19.9,69.9,
Ish,Josh Allen,QB,BUF,30.0,21.0,3.0,25.84,25.0,1.0,,1.02,41.7,46.8,23.1,29.4,1.0,1.0,"(0, 6)","(0, 14)",,,,56.3,62.7,57.4,44.25,26.25,64.3,OUTPUT>USAGE
Ish,DJ Moore,WR,BUF,29.0,41.0,5.0,52.06,48.0,24.0,,11.45,21.0,-0.1,14.9,0.8,0.76,0.31,"(8, 0)","(0, 1)",,,,31.4,40.2,34.4,10.45,7.8500000000000005,34.4,
Ish,David Montgomery,RB,HOU,29.0,40.0,4.0,61.35,54.33,19.6,,17.58,28.9,4.4,23.0,,0.49,0.52,"(3, 20)","(2, 6)",,,,25.6,41.1,29.9,16.65,23.0,34.1,USAGE>OUTPUT AGE
Ish,TreVeyon Henderson,RB,NE,24.0,61.0,7.0,70.96,88.67,27.6,,41.67,,13.6,,,,0.6,,"(0, 16)",,,,20.7,25.8,13.9,13.6,,22.4,SELL-HIGH
Ish,Brian Thomas Jr.,WR,JAC,24.0,60.0,6.0,80.0,80.67,41.0,,49.08,7.0,7.0,5.7,,0.35,0.54,"(3, 0)","(8, 0)",,,,16.9,26.4,16.7,7.0,5.7,19.2,
Ish,Josh Downs,WR,IND,25.0,100.0,10.0,87.25,81.0,42.33,,41.04,5.7,14.2,6.1,,0.89,0.83,"(4, 0)","(9, 0)",,,,14.4,10.8,16.5,9.95,6.1,17.5,
Ish,Dallas Goedert,TE,PHI,31.0,120.0,12.0,117.24,112.0,10.4,2.0,6.63,23.7,1.4,9.4,,0.95,0.25,"(5, 0)","(2, 0)",,,,7.4,6.9,8.3,12.549999999999999,9.4,12.8,AGE
Ish,Dalton Schultz,TE,HOU,30.0,,,163.71,136.83,17.6,,15.06,7.5,26.0,10.2,,0.66,0.68,"(8, 0)","(14, 0)",,,,2.6,5.0,4.8,16.75,10.2,11.8,SELL-HIGH OUTPUT>USAGE AGE NAME<CURRENT
Ish,Jordan Addison,WR,MIN,24.0,80.0,8.0,105.63,93.67,48.33,,45.95,0.0,4.1,3.2,,0.83,0.88,"(2, 0)","(5, 0)",,,,9.6,16.9,12.5,2.05,3.2,11.4,
Ish,Rachaad White,RB,WAS,27.0,101.0,11.0,111.88,142.17,36.8,-6.0,39.99,4.7,14.3,6.3,,0.41,0.52,"(2, 7)","(6, 7)",,,,8.3,10.6,4.2,9.5,6.3,10.5,FALLING NAME>CURRENT
Ish,Adonai Mitchell,WR,NYJ,24.0,141.0,15.0,166.84,130.33,60.83,,60.03,9.0,12.3,5.5,,0.69,0.82,"(3, 0)","(12, 0)",,,,2.5,4.4,5.5,10.65,5.5,8.9,OUTPUT>USAGE NAME<CURRENT
Ish,Oronde Gadsden II,TE,LAC,23.0,,,211.73,178.83,28.6,,34.46,5.2,9.8,2.8,,0.18,0.44,"(2, 0)","(2, 0)",,,,0.9,5.0,1.9,7.5,2.8,5.5,NAME<CURRENT
Ish,Seattle Seahawks,DST,SEA,,121.0,13.0,167.85,158.67,1.14,,,,,,,,,,,,,,2.4,6.8,2.9,,,2.9,
Jamal,Puka Nacua,WR,LAR,25.0,4.0,1.0,3.19,6.33,2.33,,1.57,12.4,,17.8,,0.7,,"(9, 0)",,,,,93.2,91.5,86.9,12.4,17.8,82.6,BUY-LOW USAGE>OUTPUT
Jamal,Chase Brown,RB,CIN,26.0,17.0,2.0,17.86,12.17,6.0,,11.97,18.8,11.2,20.3,,0.72,0.7,"(6, 16)","(5, 20)",,,,67.2,68.5,76.3,15.0,20.3,68.5,USAGE>OUTPUT
Jamal,George Pickens,WR,DAL,25.0,24.0,3.0,20.43,17.5,9.17,2.0,10.18,5.8,10.0,8.9,,0.84,0.76,"(6, 0)","(8, 0)",,,,63.5,58.7,67.8,7.9,8.9,58.9,BUY-LOW
Jamal,Kyren Williams,RB,LAR,26.0,37.0,4.0,41.52,43.33,16.8,-2.0,16.18,15.5,15.7,12.6,,0.64,0.55,"(3, 11)","(2, 12)",,,,39.7,43.9,38.2,15.6,12.6,41.6,
Jamal,Drake Maye,QB,NE,24.0,44.0,5.0,37.67,45.67,4.8,,11.14,11.8,8.0,17.4,,1.0,1.0,"(0, 7)","(0, 4)",,,,43.3,37.6,36.2,9.9,17.4,38.1,USAGE>OUTPUT
