label,league,injuries,p_playoffs,p_title,avg_wins,avg_ppg
Plan (Allen at 24),B,True,0.7166666666666667,0.14166666666666666,7.5616666666666665,125.84802904874974
"Plan (Collins at 24, Maye at 37)",B,True,0.7391666666666666,0.14,7.636666666666667,126.13638594274384
Zero-RB,B,True,0.7091666666666666,0.14583333333333334,7.494166666666667,125.53653602415744
Robust-RB,B,True,0.7325,0.1275,7.645833333333333,125.39029473556953
Late QB (Mahomes at 77),B,True,0.7,0.12666666666666668,7.439166666666667,124.94317481024491
Plan (Allen at 24) [no injuries],B,False,0.705,0.11666666666666667,7.4425,132.92756181516287
ESPN-sheet drafter at this slot,B,True,0.5525,0.0975,6.779166666666667,121.84666593270417
