player,pos,mean,sd,exp_missed,avail,vor,score
Jahmyr Gibbs,RB,22.366547248801385,14.447827029776933,3.63,16.755175247852094,9.195775247852094,9.195775247852094
Ja'Marr Chase,WR,22.087027600954386,10.875017241365644,3.4,17.409774697222872,9.193546457640641,9.193546457640641
Bijan Robinson,RB,21.90078593905056,10.965567767817053,3.63,16.40626523140052,8.846865231400521,8.846865231400521
Puka Nacua,WR,21.09473171405348,11.20951232956486,4.2,16.13126542839384,7.915037188811608,7.915037188811608
Jaxon Smith-Njigba,WR,19.579732442482367,8.015201549702475,2.92,15.709855912674088,7.493627673091858,7.493627673091858
Amon-Ra St. Brown,WR,19.12343260053475,11.612768707712368,2.92,15.343742392429057,7.127514152846826,7.127514152846826
Christian McCaffrey,RB,21.49700985390029,8.799185289826887,6.59,14.232285053273399,6.672885053273399,6.672885053273399
Jonathan Taylor,RB,19.690076512319003,13.414322350295864,5.02,13.945207129901224,6.385807129901224,6.385807129901224
James Cook III,RB,18.556294962739226,10.193510046045159,4.52,13.415109711297946,5.855709711297946,5.855709711297946
Trey McBride,TE,16.761247781631727,8.934689500513615,3.11,13.256175083766975,5.553486522618428,5.553486522618428
Chase Brown,RB,17.435469312788225,7.492707238689224,3.63,13.061217746962237,5.501817746962237,5.501817746962237
De'Von Achane,RB,17.04634009035961,7.646480671960577,4.62,12.27336486505892,4.713964865058919,4.713964865058919
George Pickens,WR,15.93215560022768,10.493036906892671,2.92,12.783211905123856,4.566983665541626,4.566983665541626
CeeDee Lamb,WR,17.269697166141043,6.771281740575886,5.4799999999999995,12.556085704323722,4.339857464741492,4.339857464741492
Justin Jefferson,WR,15.776746513399805,6.352408065867158,3.2199999999999998,12.519312380339024,4.303084140756793,4.303084140756793
Drake London,WR,17.367526700017354,12.335791114648561,5.9799999999999995,12.371808725718246,4.1555804861360155,4.1555804861360155
Kyren Williams,RB,15.548446473369705,6.172871150064135,3.63,11.647615637550775,4.088215637550775,4.088215637550775
Josh Allen,QB,27.038056254034043,12.481245597562234,3.65,21.03401729174119,4.048812959991494,4.048812959991494
Nico Collins,WR,15.86614238054812,6.888935227698731,4.1,12.179597533303117,3.963369293720886,3.963369293720886
Chris Olave,WR,15.505138495375128,8.503685475525696,3.6,12.130490705205247,3.9142624656230165,3.9142624656230165
Rashee Rice,WR,16.267128255393022,8.327482469853315,5.38,11.875003626436905,3.658775386854675,3.658775386854675
A.J. Brown,WR,15.819193319520625,10.554949188932763,4.7,11.86439498964047,3.6481667500582393,3.6481667500582393
Ashton Jeanty,RB,14.951668991682254,9.21907788549503,3.63,11.200559094651382,3.641159094651382,3.641159094651382
Brock Bowers,TE,15.987831134119014,10.66419952528794,5.93,11.318443982301314,3.615755421152768,3.615755421152768
Zay Flowers,WR,14.647522263858573,8.093511380765968,3.2199999999999998,11.623239725850127,3.407011486267896,3.407011486267896
Jeremiyah Love,RB,15.011544117647059,8.256349264705882,5.12,10.587553762975778,3.028153762975778,3.028153762975778
Omarion Hampton,RB,15.856517005736295,8.477175237070423,6.489999999999999,10.544583808814638,2.9851838088146376,2.9851838088146376
DeVonta Smith,WR,13.932278754013662,8.276508215140858,2.92,11.178604835573315,2.962376595991085,2.962376595991085
Derrick Henry,RB,15.45533620217743,10.8579463988362,6.09,10.45962605917949,2.9002260591794897,2.9002260591794897
Kenneth Walker III,RB,14.23266019272568,6.962985118805431,4.13,10.45263308859883,2.89323308859883,2.89323308859883
Tetairoa McMillan,WR,13.811338018658375,7.507070196899485,2.92,11.081567680852956,2.8653394412707254,2.8653394412707254
