league,policy,p_playoffs,p_title,avg_ppg,example
B,"Hero-RB (RB, then WR/TE x2)",0.8866666666666667,0.24,130.20632012328971,"['Jahmyr Gibbs', 'Trey McBride', 'George Pickens', 'Chris Olave', 'Zay Flowers', 'Jameson Williams', 'TreVeyon Henderson', 'Caleb Williams', ""Wan'Dale Robinson"", 'Quentin Johnston', 'Makai Lemon', 'Jonathon Brooks', 'Phil Mafah', 'James Conner', 'Los Angeles Chargers']"
B,RB-RB,0.8666666666666667,0.29333333333333333,130.87202819328797,"['Bijan Robinson', 'Christian McCaffrey', 'Chase Brown', 'Zay Flowers', 'Tetairoa McMillan', 'Jameson Williams', 'Jadarian Price', 'Caleb Williams', ""Wan'Dale Robinson"", 'Quentin Johnston', 'Dallas Goedert', 'KC Concepcion', 'Jordan Watkins', 'Woody Marks', 'Los Angeles Chargers']"
B,WR-WR,0.8,0.22833333333333333,128.03102540758098,"['Puka Nacua', 'George Pickens', 'Trey McBride', 'DeVonta Smith', 'Tetairoa McMillan', 'Jameson Williams', 'Jadarian Price', 'Caleb Williams', ""Wan'Dale Robinson"", 'Alec Pierce', 'Jonathon Brooks', 'Woody Marks', 'Phil Mafah', 'James Conner', 'Los Angeles Chargers']"
B,WR-WR-WR,0.7983333333333333,0.20666666666666667,127.38796222465429,"[""Ja'Marr Chase"", 'George Pickens', 'Justin Jefferson', 'Kyren Williams', 'DeVonta Smith', 'Drake Maye', 'Harold Fannin Jr.', 'Carnell Tate', ""Wan'Dale Robinson"", 'Alec Pierce', 'Jonathon Brooks', 'Woody Marks', 'Phil Mafah', 'James Conner', 'Los Angeles Chargers']"
B,Robust-RB (RB in 3 of first 4),0.875,0.23833333333333334,130.05300244892373,"['Jahmyr Gibbs', 'Bijan Robinson', 'Ashton Jeanty', 'Nico Collins', 'Tyler Warren', 'Jameson Williams', 'TreVeyon Henderson', 'Caleb Williams', ""Wan'Dale Robinson"", 'Quentin Johnston', 'Michael Wilson', 'Khalil Shakir', ""De'Zhaun Stribling"", 'Woody Marks', 'Cleveland Browns']"
B,Zero-RB (no RB before R5),0.8116666666666666,0.225,127.98446405009781,"[""Ja'Marr Chase"", 'Trey McBride', 'George Pickens', 'Zay Flowers', 'Drake Maye', 'Jameson Williams', 'Jadarian Price', ""Wan'Dale Robinson"", 'Quentin Johnston', 'Michael Wilson', 'Kyle Monangai', 'Woody Marks', 'Phil Mafah', 'James Conner', 'Los Angeles Chargers']"
B,Best available by board,0.8866666666666667,0.305,131.23426896278636,"['Jahmyr Gibbs', 'Puka Nacua', 'Christian McCaffrey', 'Zay Flowers', 'DeVonta Smith', 'Jameson Williams', 'Jadarian Price', 'Harold Fannin Jr.', 'Caleb Williams', 'Alec Pierce', 'Michael Wilson', 'Makai Lemon', 'Phil Mafah', 'James Conner', 'Los Angeles Chargers']"
