pos,cat,season,weeks_listed,out_weeks,missed_this,played_next,missed_next,same_cat_next,same_cat_out_next,dppg_next
RB,ankle,2012,6,0,0,True,2.0,False,False,-6.162499999999998
RB,core,2012,3,0,0,True,2.0,False,False,-6.162499999999998
RB,knee,2012,2,0,0,True,2.0,False,False,-6.162499999999998
RB,shoulder,2012,1,0,0,True,2.0,False,False,-6.162499999999998
RB,back,2012,13,0,0,True,0.0,False,False,-0.9562500000000007
RB,other,2012,1,0,0,True,0.0,True,False,-0.9562500000000007
WR,groin,2012,1,0,3,True,1.0,True,False,-1.8748717948717903
WR,neck,2012,1,0,3,True,1.0,False,False,-1.8748717948717903
WR,quad,2012,1,0,3,True,1.0,False,False,-1.8748717948717903
WR,ribs,2012,1,1,3,True,1.0,False,False,-1.8748717948717903
TE,back,2012,1,0,0,True,0.0,False,False,0.36249999999999893
TE,other,2012,1,0,0,True,0.0,False,False,0.36249999999999893
QB,ribs,2012,7,4,10,False,16.0,False,False,
WR,calf,2012,1,0,0,True,8.0,False,False,-3.7625
WR,foot,2012,1,0,0,True,8.0,False,False,-3.7625
WR,knee,2012,3,0,0,True,8.0,True,False,-3.7625
WR,other,2012,2,0,0,True,8.0,False,False,-3.7625
WR,concussion,2012,5,2,9,False,16.0,False,False,
RB,ribs,2012,2,0,3,True,2.0,False,False,-2.8961538461538474
TE,foot,2012,1,0,1,True,0.0,False,False,-0.9087499999999995
TE,groin,2012,3,0,1,True,0.0,False,False,-0.9087499999999995
TE,knee,2012,1,1,1,True,0.0,False,False,-0.9087499999999995
TE,other,2012,1,0,1,True,0.0,False,False,-0.9087499999999995
TE,concussion,2012,2,1,1,True,0.0,False,False,-1.4641666666666664
RB,foot,2012,7,0,2,False,13.0,True,False,
RB,hand,2012,1,0,2,False,13.0,False,False,
RB,knee,2012,3,1,2,False,13.0,False,False,
RB,neck,2012,2,1,2,False,13.0,True,True,
RB,ankle,2012,1,0,1,True,0.0,True,False,-4.899166666666668
RB,illness,2012,2,0,1,True,0.0,True,False,-4.899166666666668
WR,back,2012,3,3,3,True,2.0,False,False,-4.783516483516483
WR,hand,2012,1,0,3,True,2.0,False,False,-4.783516483516483
WR,ankle,2012,1,0,5,True,4.0,False,False,-2.4234848484848506
WR,foot,2012,4,0,5,True,4.0,False,False,-2.4234848484848506
WR,shoulder,2012,4,2,5,True,4.0,False,False,-2.4234848484848506
QB,hand,2012,1,0,0,True,0.0,False,False,-3.5474999999999994
RB,ankle,2012,6,3,4,True,6.0,True,True,-3.3243333333333336
RB,shoulder,2012,5,0,4,True,6.0,False,False,-3.3243333333333336
RB,ankle,2012,8,1,7,False,10.0,True,False,
RB,toe,2012,1,0,7,False,10.0,False,False,
RB,knee,2012,9,0,0,True,1.0,False,False,-5.349166666666667
RB,ribs,2012,1,0,0,True,1.0,False,False,-5.349166666666667
RB,achilles,2012,5,2,10,True,1.0,False,False,3.373333333333332
RB,knee,2012,5,1,10,True,1.0,True,False,3.373333333333332
RB,ankle,2012,3,0,0,True,0.0,False,False,1.2312499999999975
TE,ankle,2012,4,0,8,False,16.0,False,False,
TE,hamstring,2012,7,1,8,False,16.0,False,False,
TE,illness,2012,1,0,8,False,16.0,False,False,
WR,hip,2012,1,0,0,True,1.0,False,False,-2.553333333333333
WR,other,2012,1,0,0,True,1.0,False,False,-2.553333333333333
WR,ribs,2012,1,0,0,True,1.0,False,False,-2.553333333333333
WR,shoulder,2012,1,0,0,True,1.0,True,False,-2.553333333333333
WR,hamstring,2012,7,3,4,True,0.0,False,False,2.785416666666668
RB,ankle,2012,5,1,1,True,0.0,False,False,6.658750000000001
TE,knee,2012,1,0,9,False,9.0,False,False,
WR,hamstring,2012,2,0,5,True,0.0,False,False,5.551704545454543
RB,hip,2012,1,0,0,True,1.0,True,False,-6.370416666666669
RB,toe,2012,1,0,0,True,1.0,False,False,-6.370416666666669
TE,knee,2012,1,0,0,True,0.0,True,False,1.3312500000000007
WR,concussion,2012,3,2,4,True,2.0,False,False,-0.7880952380952388
WR,hand,2012,3,0,4,True,2.0,False,False,-0.7880952380952388
RB,illness,2012,1,0,0,True,1.0,False,False,9.193750000000001
RB,knee,2012,1,0,0,True,1.0,True,False,9.193750000000001
RB,neck,2012,1,0,0,True,1.0,False,False,9.193750000000001
TE,shoulder,2012,4,0,0,False,10.0,False,False,
WR,shoulder,2012,8,0,4,False,11.0,False,False,
TE,groin,2012,1,0,1,True,4.0,False,False,-4.266666666666667
TE,hip,2012,2,0,1,True,4.0,False,False,-4.266666666666667
WR,hand,2012,1,0,0,True,2.0,False,False,-4.043749999999999
WR,foot,2012,15,2,6,True,0.0,False,False,4.2925
WR,groin,2012,1,0,0,True,4.0,True,True,-2.864583333333334
WR,hamstring,2012,1,0,0,True,4.0,True,False,-2.864583333333334
WR,quad,2012,1,0,0,True,4.0,False,False,-2.864583333333334
QB,hip,2012,1,0,0,True,0.0,False,False,-0.355000000000004
RB,ankle,2012,4,1,2,False,14.0,False,False,
RB,concussion,2012,1,0,2,False,14.0,False,False,
WR,concussion,2012,2,1,2,True,4.0,False,False,-2.2940476190476193
WR,hamstring,2012,1,0,2,True,4.0,False,False,-2.2940476190476193
WR,illness,2012,1,0,2,True,4.0,False,False,-2.2940476190476193
RB,hamstring,2012,1,0,0,True,8.0,True,False,-5.881250000000001
RB,hand,2012,1,0,0,True,8.0,True,False,-5.881250000000001
RB,illness,2012,1,0,0,True,8.0,False,False,-5.881250000000001
RB,knee,2012,3,0,0,True,8.0,False,False,-5.881250000000001
RB,other,2012,1,0,0,True,8.0,False,False,-5.881250000000001
QB,back,2012,14,0,1,False,16.0,False,False,
WR,groin,2012,1,0,1,True,0.0,True,False,-0.3220833333333335
WR,hip,2012,1,1,1,True,0.0,False,False,-0.3220833333333335
WR,knee,2012,1,0,1,True,0.0,False,False,-0.3220833333333335
WR,illness,2012,1,0,1,False,9.0,False,False,
WR,knee,2012,1,0,1,False,9.0,True,False,
RB,groin,2012,1,0,2,False,15.0,False,False,
RB,hip,2012,3,0,2,False,15.0,False,False,
RB,ribs,2012,1,0,2,False,15.0,False,False,
WR,concussion,2012,2,0,1,True,1.0,False,False,-4.180000000000001
WR,hamstring,2012,2,0,1,True,1.0,True,False,-4.180000000000001
WR,illness,2012,1,0,0,False,11.0,False,False,
RB,groin,2012,1,0,8,True,0.0,False,False,4.262500000000001
RB,ribs,2012,2,0,8,True,0.0,False,False,4.262500000000001
WR,back,2012,2,0,1,False,16.0,False,False,
WR,groin,2012,1,0,1,False,16.0,False,False,
WR,hip,2012,3,1,1,False,16.0,False,False,
WR,knee,2012,1,0,1,False,16.0,False,False,
TE,ankle,2012,3,0,3,True,2.0,True,True,-3.3626373626373613
TE,knee,2012,4,0,3,True,2.0,True,False,-3.3626373626373613
WR,ankle,2012,3,0,7,False,15.0,False,False,
WR,hamstring,2012,2,0,7,False,15.0,False,False,
RB,ankle,2012,1,1,6,True,0.0,False,False,2.58125
RB,knee,2012,8,2,6,True,0.0,False,False,2.58125
WR,foot,2012,7,2,4,True,1.0,False,False,-1.8016666666666694
WR,knee,2012,6,0,4,True,1.0,False,False,-1.8016666666666694
WR,ankle,2012,3,0,2,True,6.0,False,False,-7.182857142857143
WR,knee,2012,10,0,2,True,6.0,False,False,-7.182857142857143
RB,hamstring,2012,1,0,8,False,16.0,False,False,
RB,knee,2012,5,0,8,False,16.0,False,False,
RB,toe,2012,1,0,8,False,16.0,False,False,
RB,concussion,2012,5,4,4,True,0.0,False,False,5.022916666666667
RB,illness,2012,1,0,4,True,0.0,False,False,5.022916666666667
RB,ribs,2012,1,0,4,True,0.0,False,False,5.022916666666667
TE,neck,2012,1,0,3,True,0.0,False,False,0.125
TE,shoulder,2012,2,0,3,True,0.0,False,False,0.125
WR,back,2012,2,0,1,True,0.0,False,False,-0.36583333333333456
WR,calf,2012,1,0,1,True,0.0,False,False,-0.36583333333333456
WR,groin,2012,1,0,1,True,0.0,False,False,-0.36583333333333456
WR,hamstring,2012,1,0,1,True,0.0,False,False,-0.36583333333333456
WR,knee,2012,1,0,1,True,0.0,True,False,-0.36583333333333456
WR,other,2012,1,0,1,True,0.0,False,False,-0.36583333333333456
WR,quad,2012,1,0,1,True,0.0,False,False,-0.36583333333333456
RB,concussion,2012,2,1,6,True,8.0,True,False,1.2274999999999991
RB,shoulder,2012,1,0,6,True,8.0,False,False,1.2274999999999991
TE,concussion,2012,1,0,0,True,1.0,False,False,-3.3554166666666667
TE,knee,2012,1,0,0,True,1.0,False,False,-3.3554166666666667
TE,other,2012,1,0,0,True,1.0,False,False,-3.3554166666666667
TE,shoulder,2012,8,0,0,True,1.0,False,False,-3.3554166666666667
WR,concussion,2012,1,0,7,True,0.0,False,False,8.21736111111111
WR,hand,2012,8,2,7,True,0.0,False,False,8.21736111111111
RB,concussion,2012,3,3,6,True,1.0,True,False,4.803333333333333
RB,knee,2012,3,1,6,True,1.0,False,False,4.803333333333333
WR,calf,2012,1,0,0,True,2.0,False,False,-2.075892857142856
WR,other,2012,1,0,0,True,2.0,False,False,-2.075892857142856
WR,back,2012,1,0,4,False,16.0,False,False,
WR,calf,2012,3,0,4,False,16.0,False,False,
WR,other,2012,1,0,4,False,16.0,False,False,
