label,league,injuries,p_playoffs,p_title,avg_wins,avg_ppg
"Plan (Nacua at 4, Allen at 24)",B,True,0.7425,0.15166666666666667,7.621666666666667,126.08933354347577
"Plan (Nacua at 4, Collins at 24, Maye at 37)",B,True,0.755,0.15916666666666668,7.773333333333333,126.75946494318676
Plan (Nacua) + Perine handcuff for Concepcion,B,True,0.735,0.16,7.66,126.19298442058586
"Taylor at 4, London at 17",B,True,0.695,0.13916666666666666,7.4,124.61792309591324
"Gibbs at 4 (if there), Pickens at 17",B,True,0.775,0.14583333333333334,7.7625,127.29106558749773
