label,league,injuries,p_playoffs,p_title,avg_wins,avg_ppg
"Plan (Nacua 4, RB 17, Allen 24)",B,True,0.747,0.138,7.617,126.17538745566952
"Plan (Nacua 4, Kyren 17, McBride 24, Maye 37)",B,True,0.786,0.184,7.84,127.6756131650204
"Bijan 4, Pickens 17, McBride 24, Maye 37",B,True,0.811,0.19,8.014,128.3630809454884
"Bijan 4, Kyren 17, Pickens 24, Maye 37 (RB-RB)",B,True,0.827,0.215,8.22,129.93079952275332
JSN 4 (else plan),B,True,0.762,0.168,7.85,126.8976895160382
"Zero-RB (Nacua, Pickens, McBride, Maye, RBs from 44)",B,True,0.813,0.193,8.044,128.33391186385674
Measured-room sheet drafter at pick 4,B,True,0.588,0.077,6.89,122.09726885372152
