ecr_rank,player,pos,team_26,age,draft_year,draft_round,bye,ecr_ovr,ecr_sd,ecr_best,ecr_worst,ecr_pos,ecr_bestball,status_26,g_25,ppgA_25,ppgB_25,top6A_25,floorA_25,ptsA_25,ptsB_25,ppr_25,tgt_25,rec_25,re_yds_25,re_td_25,tgt_share_25,car_25,ru_yds_25,ru_td_25,pass_yds_25,pass_td_25,int_25,ru100_25,re100_25,p300_25,snap_pct_25,g_24,ppgA_24,ppgB_24,ppr_24,tgt_24,tgt_share_24,car_24
438,Marcus Mariota,QB,WAS,32.9,2015.0,1.0,7.0,352.24,27.73,297,398,42.86,288.0,ACT,10.0,12.55,14.55,18.11,5.7700000000000005,125.5,145.5,125.5,0.0,0.0,0.0,0.0,0.0,50.0,297.0,1.0,1695.0,10.0,7.0,0.0,0.0,0.0,0.7454545454545454,3.0,15.253333333333336,17.92,45.760000000000005,0.0,0.0,18.0
439,Quinn Ewers,QB,JAX,23.5,2025.0,7.0,6.0,353.0,9.27,345,366,49.83,,ACT,4.0,8.295,9.795,8.295,5.705,33.18,39.18,33.18,1.0,1.0,-6.0,0.0,0.00980392156862745,8.0,19.0,0.0,622.0,3.0,3.0,0.0,0.0,0.0,0.79,,,,,,,
440,Cade Stover,TE,HOU,26.2,2024.0,4.0,8.0,353.0,4.32,347,357,72.5,345.0,ACT,6.0,3.316666666666667,3.316666666666667,3.3166666666666664,2.1,19.900000000000002,19.900000000000002,19.900000000000002,16.0,12.0,76.0,0.0,0.09142857142857143,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,14.0,2.4499999999999997,2.4499999999999997,34.3,22.0,0.048458149779735685,0.0
441,Luke Musgrave,TE,GB,26.0,2023.0,2.0,11.0,353.9,18.75,300,378,54.46,326.0,RES,13.0,3.784615384615385,3.784615384615385,6.183333333333334,1.6,49.2,49.2,49.2,31.0,24.0,252.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4005882352941177,7.0,1.6428571428571428,1.6428571428571428,11.5,10.0,0.05025125628140704,0.0
442,Austin Ekeler,RB,FA,31.3,,,,354.2,21.46,313,385,107.55,,,2.0,6.55,6.55,6.55,5.475,13.1,13.1,13.1,7.0,5.0,38.0,0.0,0.10144927536231885,14.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,12.0,11.025,11.025,132.3,41.0,0.12023460410557185,77.0
443,Elijah Higgins,TE,ARI,25.9,2023.0,6.0,14.0,354.3,10.28,337,370,54.8,324.5,ACT,17.0,3.4176470588235297,3.4176470588235297,7.283333333333334,1.1,58.1,58.1,58.1,37.0,30.0,301.0,0.0,0.059967585089141004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4252941176470588,15.0,3.2800000000000002,3.2800000000000002,49.2,24.0,0.052980132450331126,0.0
444,Joe Milton III,QB,DAL,26.5,2024.0,6.0,14.0,355.25,23.58,322,398,44.75,,CUT,4.0,2.58,3.08,2.58,-0.4849999999999999,10.32,12.32,10.32,0.0,0.0,0.0,0.0,0.0,5.0,50.0,0.0,183.0,1.0,2.0,0.0,0.0,0.0,0.21,1.0,19.240000000000002,21.240000000000002,19.24,0.0,0.0,10.0
445,Austin Hooper,TE,ATL,31.9,2016.0,3.0,11.0,355.45,22.12,309,392,53.64,285.0,ACT,13.0,4.561538461538462,4.561538461538462,7.183333333333334,2.0,59.300000000000004,59.300000000000004,59.3,26.0,21.0,263.0,2.0,0.07046070460704607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.0,6.3882352941176475,6.3882352941176475,108.6,59.0,0.11847389558232932,0.0
446,Kene Nwangwu,RB,NYJ,28.6,2021.0,4.0,13.0,356.5,13.5,343,370,120.0,,ACT,10.0,1.09,1.09,1.8166666666666667,0.0,10.9,10.9,10.9,1.0,0.0,0.0,0.0,0.0040650406504065045,13.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04416666666666667,2.0,3.0,3.0,6.0,0.0,0.0,0.0
447,Greg Dortch,WR,DET,28.3,,,6.0,356.8,28.3,302,397,133.54,295.5,,12.0,6.258333333333334,6.258333333333334,10.466666666666667,2.4,75.10000000000001,75.10000000000001,75.10000000000001,33.0,29.0,206.0,3.0,0.0744920993227991,7.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358333333333334,17.0,5.311764705882353,5.311764705882353,90.3,50.0,0.09560229445506692,5.0
