label,league,injuries,p_playoffs,p_title,avg_wins,avg_ppg
Plan (McBride at 19),A,True,0.9358333333333333,0.1975,8.1175,126.25303201559606
"Plan (London at 19, Kraft TE)",A,True,0.9241666666666667,0.15166666666666667,7.891666666666667,124.60298111669589
Zero-RB (Chase at 2),A,True,0.9208333333333333,0.12833333333333333,7.778333333333333,123.72149556914344
Robust-RB,A,True,0.9358333333333333,0.1525,8.058333333333334,125.22964452354059
Early QB (Allen at 19),A,True,0.9291666666666667,0.17583333333333334,8.089166666666667,125.58919343589974
Plan (McBride at 19) [no injuries],A,False,0.9266666666666666,0.15916666666666668,7.9,132.92022366620196
ESPN-sheet drafter at this slot,A,True,0.8475,0.10333333333333333,7.2825,120.51012932119319
