team,slot,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15
Ach,1,Ja'Marr Chase WR,Jonathan Taylor RB,Tyreek Hill WR,Joe Burrow QB,DK Metcalf WR,Zay Flowers WR,Sam LaPorta TE,Jaylen Warren RB,Jerry Jeudy WR,Chris Godwin WR,Cam Skattebo RB,Najee Harris RB,Jerome Ford RB,Houston Texans DST,Marquise Brown WR
Abu Ali,2,Saquon Barkley RB,Bucky Irving RB,Tee Higgins WR,Lamar Jackson QB,Tetairoa McMillan WR,DJ Moore WR,Travis Kelce TE,Javonte Williams RB,Michael Pittman WR,Austin Ekeler RB,Rashid Shaheed WR,Adam Thielen WR,Raheem Mostert RB,Minnesota Vikings DST,Jalen McMillan WR
Ish,3,Bijan Robinson RB,Josh Jacobs RB,Kenneth Walker RB,Garrett Wilson WR,Jalen Hurts QB,George Pickens WR,RJ Harvey RB,Stefon Diggs WR,Travis Etienne RB,Jayden Higgins WR,Tre Harris WR,Colston Loveland TE,Dont'e Thornton WR,San Francisco 49ers DST,Woody Marks RB
Sleiman,4,Jahmyr Gibbs RB,Drake London WR,Chase Brown RB,TreVeyon Henderson RB,Courtland Sutton WR,Emeka Egbuka WR,David Montgomery RB,Chris Olave WR,Travis Hunter WR,Khalil Shakir WR,Josh Downs WR,Evan Engram TE,Jauan Jennings WR,Los Angeles Rams DST,Dak Prescott QB
Doug,5,Justin Jefferson WR,De'Von Achane RB,Ladd McConkey WR,Terry McLaurin WR,Tony Pollard RB,George Kittle TE,Calvin Ridley WR,Tyrone Tracy RB,Bo Nix QB,Jordan Mason RB,Trey Benson RB,Ollie Gordon RB,Christian Kirk WR,New England Patriots DST,Trevor Lawrence QB
Kass,6,Christian McCaffrey RB,A.J. Brown WR,Davante Adams WR,Marvin Harrison WR,Breece Hall RB,Aaron Jones RB,DeVonta Smith WR,T.J. Hockenson TE,Deebo Samuel WR,Brian Robinson RB,Keon Coleman WR,Nick Chubb RB,Tyler Allgeier RB,Jared Goff QB,Philadelphia Eagles DST
Mexican (you),7,CeeDee Lamb WR,Brian Thomas WR,James Cook RB,Omarion Hampton RB,Patrick Mahomes QB,Rashee Rice WR,Xavier Worthy WR,Cooper Kupp WR,J.K. Dobbins RB,Joe Mixon RB,Keenan Allen WR,Darnell Mooney WR,Brandon Aiyuk WR,Detroit Lions DST,Dalton Kincaid TE
Moe,8,Malik Nabers WR,Puka Nacua WR,Brock Bowers TE,Kyren Williams RB,Alvin Kamara RB,James Conner RB,Jaylen Waddle WR,Baker Mayfield QB,Rome Odunze WR,Jakobi Meyers WR,Jayden Reed WR,Rhamondre Stevenson RB,Xavier Legette WR,Denver Broncos DST,Tank Bigsby RB
Betto,9,Ashton Jeanty RB,Amon-Ra St. Brown WR,Jaxon Smith-Njigba WR,Jayden Daniels QB,Chuba Hubbard RB,Jameson Williams WR,Matthew Golden WR,Jacory Croskey-Merritt RB,Kaleb Johnson RB,Mark Andrews TE,Rachaad White RB,Pittsburgh Steelers DST,Marvin Mims WR,Isaac TeSlaa WR,Luther Burden WR
Billy,10,Nico Collins WR,Derrick Henry RB,Josh Allen QB,Trey McBride TE,Mike Evans WR,D'Andre Swift RB,Isiah Pacheco RB,Ricky Pearsall WR,Zach Charbonnet RB,Jordan Addison WR,Tyler Warren TE,Braelon Allen RB,Baltimore Ravens DST,Kyle Williams WR,Jack Bech WR
